=== run5_full: top 25 word substitutions (reference -> prediction) ===
     91  'කියල'               -> 'කියලා'
     33  'කල'                 -> 'කළ'
     32  'ඉතිං'               -> 'ඉතින්'
     27  'කියන්නෙ'            -> 'කියන්නේ'
     25  'තියෙන්නෙ'           -> 'තියෙන්නේ'
     23  'කියලා'              -> 'කියල'
     23  'පස්සෙ'              -> 'පස්සේ'
     22  'තියන'               -> 'තියෙන'
     21  'කරන්නෙ'             -> 'කරන්නේ'
     20  'තියනවා'             -> 'තියෙනවා'
     20  'කරල'                -> 'කරලා'
     20  'එය'                 -> 'ඒ'
     19  'වෙන්නෙ'             -> 'වෙන්නේ'
     18  'විදිහට'             -> 'විදියට'
     18  'ඒ'                  -> 'එය'
     17  'ඕනෙ'                -> 'ඕනේ'
     16  'සමග'                -> 'සමඟ'
     16  'උනා'                -> 'වුණා'
     16  'යුතු'               -> 'යුතුය'
     15  'නැහැ'               -> 'නෑ'
     13  'කථා'                -> 'කතා'
     13  'සමඟ'                -> 'සමග'
     12  'කිව්ව'              -> 'කිව්වා'
     12  'තුල'                -> 'තුළ'
     11  'ලංකාවෙ'             -> 'ලංකාවේ'

=== run5_full: top 25 deleted words (model dropped these) ===
    106  'ය'
     80  'ම'
     73  'ද'
     48  'ව'
     19  'වෙලා'
     19  'නම්'
     18  'නේ'
     16  'ඒ'
     15  'එක'
     15  'වේ'
     14  'වත්'
     14  'ගත'
     12  'වූ'
     11  'මේ'
     11  'දී'
     11  'යි'
     10  'ගන්න'
      9  'නෑ'
      9  'හරි'
      9  'වීම'
      9  'කම'
      8  'වල'
      8  'අර'
      8  'යන'
      7  'හා'

=== run5_full: top 25 inserted words (model hallucinated these) ===
     19  'ඒ'
     16  'බුදු'
     15  'ලබා'
     13  'ඇති'
     12  'දී'
     12  'එක'
     11  'යුතු'
     11  'කළේ'
     11  'ම'
     11  'ව'
     10  'වැඩ'
     10  'සිදු'
      9  'මේ'
      9  'කර'
      9  'වැඩි'
      7  'බොහෝ'
      6  'අප'
      6  'හැම'
      6  'නිකුත්'
      6  'මා'
      6  'හොඳ'
      6  'පත්'
      5  'වුණා'
      5  'රස'
      5  'ද'

=== run5_full: severity distribution ===
  exact_match   8384 samples (52.9%)
  minor         2875 samples (18.1%)
  moderate      3242 samples (20.4%)
  major         1307 samples (8.2%)
  severe          52 samples (0.3%)
