=== run1_full: top 25 word substitutions (reference -> prediction) ===
     45  'කියල'               -> 'කියලා'
     39  'එමෙන්'              -> 'එමෙන්ම'
     37  'කථාව'               -> 'කතාව'
     36  'පිළිබඳ'             -> 'පිළිබඳව'
     35  'නො'                 -> 'නොවේ'
     29  'ඇත්තට'              -> 'ඇත්තටම'
     28  'තියනවා'             -> 'තියෙනවා'
     28  'මෙන්'               -> 'මෙන්ම'
     24  'කරන්නෙ'             -> 'කරන්නේ'
     23  'කියන්නෙ'            -> 'කියන්නේ'
     22  'කරල'                -> 'කරලා'
     22  'තියෙන්නෙ'           -> 'තියෙන්නේ'
     22  'මෙහෙ'               -> 'මෙහෙම'
     21  'මුලින්'             -> 'මුලින්ම'
     21  'කොහොම'              -> 'කොහොමද'
     21  'පසු'                -> 'පසුව'
     20  'යුතු'               -> 'යුතුව'
     20  'මෙහි'               -> 'මෙහිදී'
     19  'මොකක්'              -> 'මොකක්ද'
     19  'හැකි'               -> 'හැකිය'
     18  'එහි'                -> 'එහිදී'
     18  'අනතුරු'             -> 'අනතුරුව'
     18  'ස්තූතියි'           -> 'ස්තුතියි'
     17  'පස්සෙ'              -> 'පස්සේ'
     17  'අමතර'               -> 'අමතරව'

=== run1_full: top 25 deleted words (model dropped these) ===
    872  'ම'
    407  'ව'
    289  'ද'
    236  'දී'
    188  'ය'
     96  'වන'
     65  'වේ'
     45  'නේ'
     39  'වූ'
     29  'විය'
     25  'වීම'
     22  'වී'
     20  'වෙලා'
     16  'වෙයි'
     15  'එක'
     14  'නම්'
     13  'ගන්න'
     13  'යි'
     13  'වනු'
     12  'කරන'
     12  'දා'
     12  'ලු'
     11  'වගේම'
     11  'වගේ'
     11  'ගැනීම'

=== run1_full: top 25 inserted words (model hallucinated these) ===
     20  'මේ'
     14  'ඒ'
     13  'කතා'
     11  'සිදු'
     10  'පත්'
      9  'කර'
      8  'ලබා'
      8  'බුදු'
      7  'අර'
      7  'දේවල්'
      6  'කියා'
      6  'ගෙන'
      6  'ගත'
      5  'බැරි'
      5  'ඔය'
      5  'ගම්මාන'
      4  'අපි'
      4  'කියන්නේ'
      4  'ගොඩ'
      4  'ඒක'
      4  'ඕන'
      4  'එක'
      4  'ඇති'
      4  'දැන'
      4  'අඩු'

=== run1_full: severity distribution ===
  exact_match   9355 samples (60.4%)
  minor         1850 samples (11.9%)
  moderate      3174 samples (20.5%)
  major         1075 samples (6.9%)
  severe          29 samples (0.2%)
