reference,prediction
ඔබට ලබාදීම සදහා,ඔබට ලබා දී ම සඳහා
නමුත් ගන්න පඩිය,නමුත් ගන්නෝ පඩිය
මට ඔවුන්ට පුළුවන් දෙයක් කරන්නැයි,මට ඔවුන්ට පුළුවන් දෙයක් කරන්නැයි
එම සරසවියේ ශාස්ත්‍ර පීඨ ශිෂ්‍ය සංගමයය,එම සරසවියේ ශාස්ත්‍ර පිහිට ශිෂ්‍ය සංගමයය.
මගේ සංකල්පය,මගේ සංකල්පය
තෑන්ක්ස් ගුරා ඒවගේම අපි වෙනුවෙන්,තෑන්ක්ස් ගුරා ඒ වගේම අපි වෙනුවෙන්
බෙංගාල බොක්කේ අභ්‍යවකාශ මධ්‍යස්ථානයෙන්,බෙංගාල බොක්කේ අභ්‍යාවකාශ මධ්‍යස්ථානයෙන්
පත්තිනි දෙවියන්ගේම පිහිටයි,පත්තිනි දෙවියන් ගියෙමු පිහිටයි.
හරි එහෙනම් ඔන්න මේකයි කතාව,හරි එහෙනම් ඔන්න මේකයි කථාව
ඒ ප්‍රකාශ කරන සිහින පලාඵල,එය ප්‍රකාශ කරන සිහින පලාපල
ඉන්නවානම් මෙන්න තියෙනවා,ඉන්නවා නම් මෙන්න තියෙනවා
මුළු සිරුරම ඒ දණ්ඩක් මෙන්,මුළු සිරුරම ඒ දණ්ඩක් මෙන්
ඉදිරියේදී මේ පිළිබඳ ලියවෙන ලිපි,ඉදිරියේ දී මේ පිළිබඳ ලියැවෙන ලිපි
බොරුකීම,බොරු කීම
නමුත් කවිය කියන්නේ,නමුත් කවිය කියන්නේ
බ්ලොග් පොස්ට් එකක් දාන්න,බ්ලොග් පොස්ට් එකක් දාන්න
මේ හානියට එරෙහිව නැඟී ආ ජන විරෝධය කෙතරම් ද?,මේ හානියට එරෙහි ව නැගී ආ ජනවිරෝධය කෙතරම් ද
එනම් කලාකාරයකු නොව,එනම් කලාකාරයකු නොව
එතකොට මම කිව්වා,එතකොට මම කිව්වා
ඔහුට තම ජීවිතය වෙනස් කල හැකි අන්දමේ යමක් මුන ගැසෙනවා.,ඔහුට තම ජීවිතය වෙනස් කළ හැකි අන්දමේ යමක් මුණ ගැසෙනවා.
ජාතිවාදින් යැයි හංවඩු ගසනුයේ,ජාතිවාදින් යැයි හංවඩු ගසනුයේ
සිල් බිඳේ.,සිල් බිඳේ.
ඔතන අමුතු කතන්දරයක් නෑ නේ,ඔතන අමුතු කතන්දරයක් නෑ නේ
එක් අඳුරු කාලපරිච්ඡේදයකදී,එක් අඳුරු කාල පරිච්ඡේදයක දී
විස්වාස කරන්න එපා කියල.,විශ්වාස කරන්න එපා කියලා.
පවූල් බොහොමයක් සිටින,පවුල් බොහොමයක් සිටින
වගේ ඕපපාතික වුනාද?,වගේ ඕපපාතික වුණාද?
උන්වහන්සේ අසම නම් විය.,උන්වහන්සේ අසම නම් විය.
ඒත් කරන්න දෙයක් තිබුණෙ නැහැ,ඒත් කරන්න දෙයක් තිබුණෙ නැහැ
එහෙව් එකේ,එහෙව් එකේ
එමෙන්ම තමන්ගේ කවි කියන්නට,එමෙන් ම තමන්ගේ කවි කියන්නට
හසන්ත තැන්ක්ස් වේවා හසන්ත,හසන්ත තෑන්ක්ස් වේවා හසන්ත
ඉතිං?,ඉතින්
මව්පියන්ගේ ආශිර්වාදයෙනි.,මවුපියන්ගේ ආශීර්වාදයෙනි.
පියනේ වූ ජලය බිඳක් පානය කළේය,පියන යුතු ජලය බිඳක් පානය කළේ ය
බුදුන් දවස වෛදිකයන්ද,බුදුන් දවස වෛදිකයන් ද
ටයිප් මනසට හරිම වෙහෙසයි,ටයිප් මනසට හරිම වෙහෙසයි
මේ අම්බලමේ සිට ඒ අම්බලම දක්වා යන ගමනේ දී,මේ අම්බලමේ සිට ඒ අම්බලම දක්වා යන ගමනේ දී
අපි දුක් විය යුත්තේ,අපි දුක් විය යුත්තේ
යෝජනා කරන්නෙ නෑ.,යෝජනා කරන්නේ නෑ.
ඔය මෝහනයෙන්,ඔය මෝහනයෙන්
චතුරාර්ය සත්‍ය අවබෝධ කරන එක,චතුරාර්ය සත්‍යය අවබෝධ කරන එක
බිත්තර ලැබෙන නිසා,ඉත්තර ලැබෙන නිසා
බැරිවෙලාවත් වකුගඩු නරක් වුණොත්,බැරි වෙලාවත් වකුගඩු නරක් වුණොත්
සැටි සොයා බැලීමකි.,සැටි සොයා බැලීමකි.
ඝාතනයකට වඩා යමක් මෙම ඝාතනය තුල ඇත.,ඝාතනයට වඩා යමක් මෙම ඝාතනය තුළ ඇත.
ඉතුරු වෙන්නේ උදවුවක් නැති එවුන්,ඉතුරු වෙන්නෙ උදව්වක් නැති එවුන්.
ඔස්ට්‍රලියාවෙ ලියාපදිංචි වෙලා නැතෙයි?,ඕස්ට්‍රේලියාවේ ලියාපදිංචි වෙලා නැතැයි
ඉරිදා හවස පන්ති කරන්න කියන එක.,ඉරිදා අවස පන්ති කරන්නේ කියන එක
ලෝභය තුනී කරගන්න,ලෝභය තුනී කරගන්න
අවස්ථාවාදීන්ගේ උගුල්වලට හසු වී,අවස්ථාවාදීන්ගේ උගුල්වලට හසු වී
එය පිහිටි ස්ථානයේ,එය පිහිටි ස්ථානයේ
භික්ෂූන් වහන්සේ නමක් වාහනයට නගිනවිට,භික්ෂූන් වහන්සේ නමක් වාහනයට නගින විට
දඹ වැනි දැව එහි තිබු බව,දඹවැනි දැවෙහි තිබූ බව
පෙන්වා දී තිබෙනවා.,පෙන්වා දී තිබෙනවා.
ඇති කරගන්නටත් ඕනෑ.,ඇතිකර ගන්නටත් ඕනෑ.
බුදුරජාණන් වහන්සේගේ අවබෝධය ගැන,බුදුරජාණන් වහන්සේගේ අවබෝධය ගැන
බ්ලොග් වලට එන්න පුළුවන්.,බ්ලොග්වලට එන්න පුළුවන්.
