reference,prediction
ඔබට ලබාදීම සදහා,ඔබට ලබාදීම සඳහා
නමුත් ගන්න පඩිය,නමුත් ගන්නෝ බඩිය
මට ඔවුන්ට පුළුවන් දෙයක් කරන්නැයි,මට ඔවුන්ට පුළුවන් දෙයක් කරන්නැයි
එම සරසවියේ ශාස්ත්‍ර පීඨ ශිෂ්‍ය සංගමයය,එම සරසවියේ ශාස්ත්‍ර පිහිට ශිෂ්‍ය සංගමයය.
මගේ සංකල්පය,මගේ සංකල්පය
තෑන්ක්ස් ගුරා ඒවගේම අපි වෙනුවෙන්,තෑන්ට්ස් ගුරා ඒ වගේම අපි වෙනුවෙන්
බෙංගාල බොක්කේ අභ්‍යවකාශ මධ්‍යස්ථානයෙන්,බෙංගාල බොක්කේ අභ්‍යාවකාශ මධ්‍යස්ථානයෙන්
පත්තිනි දෙවියන්ගේම පිහිටයි,පත්තිනි දෙවියන් ගේම පිහිටයි.
හරි එහෙනම් ඔන්න මේකයි කතාව,හරි එහෙනම් ඔන්න මේකයි කතාව
ඒ ප්‍රකාශ කරන සිහින පලාඵල,එය ප්‍රකාශ කරන සිහින පලාපල
ඉන්නවානම් මෙන්න තියෙනවා,ඉන්නවා නම් වෙන්න තියෙනවා.
මුළු සිරුරම ඒ දණ්ඩක් මෙන්,මුළු සිරුරෙම ඒ දණ්ඩක් මෙන්
ඉදිරියේදී මේ පිළිබඳ ලියවෙන ලිපි,ඉදිරියේදී මේ පිළිබඳ ලියවෙන ලිපි
බොරුකීම,"බොරු කීම,"
නමුත් කවිය කියන්නේ,නමුත් කවිය කියන්නේ
බ්ලොග් පොස්ට් එකක් දාන්න,බ්ලොග් පෝස්ට් එකක් දාන්න
මේ හානියට එරෙහිව නැඟී ආ ජන විරෝධය කෙතරම් ද?,මේ හානියට එරෙහිව නැඟී ආ ජන විරෝධය කෙතරම් ද?
එනම් කලාකාරයකු නොව,එනම් කලාකාරයකු නොව
එතකොට මම කිව්වා,එතකොට මම කිව්වා
ඔහුට තම ජීවිතය වෙනස් කල හැකි අන්දමේ යමක් මුන ගැසෙනවා.,ඔහුට තම ජීවිතය වෙනස් කළ හැකි අන්දමේ යමක් මුණ ගැසෙනවා.
ජාතිවාදින් යැයි හංවඩු ගසනුයේ,ජාතිවාදින් යැයි හංවඩු ගසනුයේ
සිල් බිඳේ.,සිල් බිඳේ.
ඔතන අමුතු කතන්දරයක් නෑ නේ,ඔතන අමුතු කතන්දරයක් නෑ නේ
එක් අඳුරු කාලපරිච්ඡේදයකදී,එක් අඳුරු කාල පරිච්ඡේදයකදී
විස්වාස කරන්න එපා කියල.,විශ්වාස කරන්න එපා කියල.
පවූල් බොහොමයක් සිටින,පවුල් බොහොමයක් සිටින
වගේ ඕපපාතික වුනාද?,වගේ ඕපපාතික වුනාද?
උන්වහන්සේ අසම නම් විය.,උන්වහන්සේ අසම නම් විය.
ඒත් කරන්න දෙයක් තිබුණෙ නැහැ,ඒත් කරන්න දෙයක් තිබුණෙ නැහැ
එහෙව් එකේ,එහෙව් එකේ
එමෙන්ම තමන්ගේ කවි කියන්නට,එමෙන්ම තමන්ගේ කවි කියන්නට
හසන්ත තැන්ක්ස් වේවා හසන්ත,හසන්ත තැන්ක්ස් වේවා හසන්ත
ඉතිං?,ඉතිං
මව්පියන්ගේ ආශිර්වාදයෙනි.,මව්පියන්ගේ ආශිර්වාදයෙනි.
පියනේ වූ ජලය බිඳක් පානය කළේය,පියනේ වූ ජලය බිඳක් පානය කළේය
බුදුන් දවස වෛදිකයන්ද,බුදුන් දවස වෛදිකයන්ද
ටයිප් මනසට හරිම වෙහෙසයි,ටයිප් මනසට හරිම වෙහෙසයි.
මේ අම්බලමේ සිට ඒ අම්බලම දක්වා යන ගමනේ දී,මේ අම්බලමේ සිට ඒ අම්බලම දක්වා යන ගමනේ දී
අපි දුක් විය යුත්තේ,අපි දුක් විය යුත්තේ
යෝජනා කරන්නෙ නෑ.,යෝජනා කරන්නේ නෑ.
ඔය මෝහනයෙන්,ඔය මෝහනයෙන්
චතුරාර්ය සත්‍ය අවබෝධ කරන එක,චතුරාර්ය සත්‍යය අවබෝධ කරන එක
බිත්තර ලැබෙන නිසා,බිත්තර ලැබෙන නිසා
බැරිවෙලාවත් වකුගඩු නරක් වුණොත්,බැරිවෙලාවත් වකුගඩු නරක් වුණොත්
සැටි සොයා බැලීමකි.,සැටි සොයා බැලීමකි.
ඝාතනයකට වඩා යමක් මෙම ඝාතනය තුල ඇත.,ඝාතනයට වඩා යමක් මෙම ඝාතනය තුළ ඇත.
ඉතුරු වෙන්නේ උදවුවක් නැති එවුන්,ඉතුරු වෙන්නේ උදව්වක් නැති එවුන්
ඔස්ට්‍රලියාවෙ ලියාපදිංචි වෙලා නැතෙයි?,ඔස්ට්‍රේලියාවේ ලියාපදිංචි වෙලා නැතෙයි?
ඉරිදා හවස පන්ති කරන්න කියන එක.,ඉරිදා හවස පන්ති කරන්නේ කියන එක.
ලෝභය තුනී කරගන්න,ලෝභය තුනී කරගන්න
අවස්ථාවාදීන්ගේ උගුල්වලට හසු වී,අවස්ථාවාදීන්ගේ උගුල්වලට හසු වී
එය පිහිටි ස්ථානයේ,එය පිහිටි ස්ථානයේ
භික්ෂූන් වහන්සේ නමක් වාහනයට නගිනවිට,භික්ෂූන් වහන්සේ නමක් වාහනයට නගිනවිට
දඹ වැනි දැව එහි තිබු බව,දඹ වැනි දැව එහි තිබූ බව
පෙන්වා දී තිබෙනවා.,පෙන්වා දී තිබෙනවා.
ඇති කරගන්නටත් ඕනෑ.,ඇති කර ගන්නටත් ඕනෑ.
බුදුරජාණන් වහන්සේගේ අවබෝධය ගැන,බුදුරජාණන් වහන්සේගේ අවබෝධය ගැන
බ්ලොග් වලට එන්න පුළුවන්.,බ්ලොග් වලට එන්න පුළුවන්.
භික්‍ෂුන් වහන්සේ නායකත්වය දෙන්නාහ,භික්‍ෂූන් වහන්සේ නායකත්වය දෙන්නාහ
ධන සම්පත් ලැබේ.,ධන සම්පත් ලැබේ.
එයට මූලික කොටම හේතුපාදක වන්නේ,එයට මූලික කොටම හේතුපාදක වන්නේ
මේ ජේම්ස් මහත්තයාගේ පුතා,මේ ජේම්ස් මහත්තයාගේ පුතා
ඉතින් මං හිතනවා,ඉතින් මං හිතනවා
අයිස් සහිත පරිසරයක් නිර්මාණය කරන ආකාරය,අයිස් සහිත පරිසරයක් නිර්මාණය කරන ආකාරය
අවසාන මොහොතේ තමා මාළිගයෙන් පිටවෙන මොහොතේද,අවසාන මොහොතේ තමා මාලිගයෙන් පිටවන මොහොතේද?
නිසා කියවල නැහැ,නිසා කියවල නැහැ.
මේ මව සහ දියණිය ගත කරන ජිවිතය,මේ මව සහ දියණියක් ගත කරන ජීවිතය
මේ ෆිල්ම් එක නැරඹීමෙන් පසුව,මේ ෆිල්ම් එක නැරඹීමෙන් පසුව
දකුණු අත්ල ඉදිරියට දක්වා ඇති බවක් පෙනේ.,දකුණු අත්ල ඉදිරියට දක්වා ඇති බවක් පෙනේ.
එය සත්‍යයද අසත්‍යද,එය සත්‍යය ද අසත්‍යය ද
කාරනය වැදගත් නැහැ.,කාරණය වැදගත් නැහැ.
එකේත්ටික ගලවල දොර විතරක් තිය ගමු කියලද?,එකෙත් ටික ගලවල දොර විතරක් තියාගමු කියලද
ඔයා ඔය කියන ඕගොල්ලෝ මත,ඔයා ඔය කියන ඕගොල්ලෝ මත
අනෙක් කරුණ නම් ඇය කල වරද,අනෙක් කරුණ නම් ඇය කළ වරද
ආගම ගැන හිතන්න,ආගම ගැන හිතන්න.
පොලිසිය පවසයි,පොලිසිය පවසයි
පංචාවාස ඒකකයේ මැද,පංචාවාස ඒකකයේ මැද
අනික මේ බුදුන් දේශනා කළා කියල,අනික මේ බුදුන් දේශනා කළා කියලා
දන්න අය නෙමේනේ.,දන්න අය නෙමේනේ.
පිළිගැනීමට හෝ,පිළිගැනීමට හෝ
