reference,prediction,wer,substitutions,deletions,insertions,ref_len_words,severity
දඩකෙළිය සඳහා ගත් දුනු අතැතිවයි.,මෙම මෙම මෙම මෙම මෙම මෙම මෙම මෙම මෙම මෙම මෙම මෙම මෙම මෙම මෙම මෙම මෙම මෙම මෙම මෙම මෙම මෙම මෙම මෙම මෙම මෙම මෙම මෙම මෙම මෙම මෙම මෙම මෙම මෙම මෙම මෙම මෙම ම�,7.6,5,0,33,5,severe
තුන්වැදෑරුම්ය.,තුන් වැදෑරුම් ය.,3.0,1,0,2,1,severe
ක්‍රිස්තු පූර්ව යුගයට අයත්,ක්‍රි.වූ. ක්‍රි.වූ. ක්‍රි.වූ. ක්‍රි.වූ. ක්‍රි.වූ. ක්‍රි.වූ. ක්‍රි.වූ. ක්‍රි.වූ. ක්‍රි.වූ.,2.25,4,0,5,4,severe
"ඩී.එස්.සේනානායක,",ඩියස් සේනානායක,2.0,1,0,1,1,severe
කුනුහරුපයක් නෙවෙයි.,පැණි කුණු හරක යන්නේ,2.0,2,0,2,2,severe
"ඩී.එස්.සේනානායක,",ඩීයෙක් සේනානායක,2.0,1,0,1,1,severe
බොරුකීම,බොරු කීම,2.0,1,0,1,1,severe
ගරු කතානායකතුමනි,අඟරු කතා කළ මාරගතුමනි,2.0,2,0,2,2,severe
එනම්ඉතිරිය,"එනම් ඉතිරිය,",2.0,1,0,1,1,severe
"කදාවළලු,",කඳා වළලු.,2.0,1,0,1,1,severe
යු.එස්.බී 3.0 ආශ්‍රිත,යුයෙස්බි තුනයි දසම බින්දුව ආසිත,1.6667,3,0,2,3,severe
සම්මාවාචා දන්දෙන්න ඕන,සම්මා වාචා දන් දෙන්න ඕනා,1.6667,3,0,2,3,severe
සිනා පොදකුදු නොමැතිවය.,සිනා පොද කුඩු නොමැති ව ය,1.6667,2,0,3,3,severe
වසරක් පාසා,වසර ක් පාසක්,1.5,2,0,1,2,severe
මොකට බයවෙන්නද.,මොකට බය වෙන්න ද,1.5,1,0,2,2,severe
ජයවේවා.බොහෝම ස්තූතියි.,ජය වේවා බොහොම ස්තූතියි,1.5,1,0,2,2,severe
විද්වත්හු සළකති.,විද්වත් වූ සලකති.,1.5,2,0,1,2,severe
එහෙමත නැත්තම්,එහෙම ත නැත්තං,1.5,2,0,1,2,severe
